,GEOID10_TRACT,state,Life expectancy (years),Unemployed civilians (percent),Percent of individuals < 200% Federal Poverty Line,Median value ($) of owner-occupied housing units,Percent individuals age 25 or over with less than high school degree,Percent enrollment in college or graduate school,Percent Black or African American alone,Percent American Indian and Alaska Native alone,Percent Non-Hispanic White,Linguistic isolation (percent),Current lack of health insurance among adults aged 18-64 years,Median household income in the past 12 months,Percent Hispanic or Latino,hbrd_rank,current_methodology_percent,current_summed_methodology,Urban Heuristic Flag,state_name
2570,25023511500,25,79.0,8.767517067912319,39.22474392448283,250000,31.5160567587752,11.64801627670396,61.52931854199684,0.0,10.57844690966719,13.63947909527073,17.3,58340,13.411251980982561,90.55397727272728,44.0,650,1,MA
2571,25023530500,25,76.2,6.00428877769835,23.31681123502685,390300,7.587548638132289,6.820175438596491,2.37146651489281,0.0,94.36539556061469,3.35140463282405,8.0,70924,0.0,92.64914772727272,38.0,780,1,MA
2572,25025000802,25,80.2,4.92785793562708,38.37609511889862,607900,10.820285113344239,34.76908723371171,5.74541113266676,0.61184897776451,53.54424712729443,17.13649851632047,10.6,60772,16.23638262945829,96.16477272727272,44.0,1074,1,MA
2573,25025010203,25,79.2,2.262044653349,48.22642896526374,448000,5.41030287341444,37.63605117433645,5.718370264474619,0.42887776983558995,50.911365260900645,13.50107394906413,9.6,41544,15.56468906361686,93.96306818181816,39.0,1010,1,MA
2574,25025010500,25,80.1,7.44741330301307,38.39254915488099,937500,6.1263868789194404,39.719626168224295,8.90711983592147,0.0,55.99179607383533,19.100391134289442,9.2,54278,17.814239671842948,94.74431818181816,37.0,533,1,MA
2575,25025050700,25,82.2,2.4850042844901403,44.35512683101107,504200,42.58145363408521,4.10628019323671,1.33761369716425,0.0,25.450329944711967,43.46268656716417,25.8,68384,70.26930622436241,98.22443181818184,54.0,895,1,MA
2576,25025070200,25,87.9,8.864821500200561,58.22545846817692,700400,36.62346294449983,41.420361247947454,4.29927414852037,0.67001675041876,36.08784664061046,49.8041410184667,13.8,28646,3.2756374464917104,90.19886363636364,45.0,750,1,MA
2577,25025080100,25,80.2,10.99887766554433,54.93387589013224,477600,25.91991341991342,9.521757862990091,51.10949436158603,2.36449618042924,14.696253182975619,17.17032967032967,21.0,32258,27.246271371407783,98.79261363636364,61.0,430,1,MA
2579,25025081100,25,76.0,4.42132639791937,46.24697336561743,433500,9.5509383378016,26.124523506988563,17.49271137026239,0.0,53.91156462585034,18.72025383395029,10.6,57687,13.192419825072879,90.69602272727272,46.0,788,1,MA
2580,25025081500,25,76.1,14.066852367688021,59.31958016648571,436300,26.958002270147556,10.36668175645088,56.145350908443184,0.57000356252226,12.611328820805129,12.69674711437565,18.3,36464,24.43890274314214,93.67897727272728,52.0,449,1,MA
